ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
571115,Hydro Refresh Mizellenwasser,Lavera,Diverse,Naturkosmetik (BNN),400ml,6.4855,1.0354999999999999,19
571113,Hydro Refresh Serum,Lavera,Diverse,Naturkosmetik (BNN),30ml,9.4962,1.5161999999999995,19
571620,Iris Feuchtigkeitscreme,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.7584,1.3983999999999996,19
571621,Iris Nachtpflege,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.829799999999999,1.4097999999999988,19
571622,Iris Tagespflege,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.091999999999999,1.291999999999999,19
696744,Klärendes Waschgel,Weleda,Diverse,Naturkosmetik (BNN),100ml,6.7235000000000005,1.0735000000000001,19
89202,MELISSA Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,12.721099999999998,2.0310999999999986,19
599344,MEMO 10er Baumwoll-Kosmetikpads mit Wäschebeutel,Memo,Indien,nicht per Bio-VO geregelt,Pack,10.6505,1.7005,19
571611,MEN 2in1 Gesichtswaschgel,Lavera,Diverse,Naturkosmetik (BNN),150ml,4.6171999999999995,0.7371999999999996,19
599048,Men Active Gesichtsfluid,Speick,Diverse,Naturkosmetik (BNN),30ml,8.3776,1.3375999999999992,19
587033,Men Active Intensiv Creme,Speick,Diverse,Naturkosmetik (BNN),50ml,6.7829999999999995,1.0829999999999993,19
570105,Men Face Cream,Urtekram,Diverse,Naturkosmetik (BNN),75ml,4.8195,0.7694999999999999,19
570104,Men Face Wash,Urtekram,Diverse,Naturkosmetik (BNN),150ml,4.2245,0.6745000000000001,19
571606,MEN Feuchtigkeitscreme sensitiv,Lavera,Diverse,Naturkosmetik (BNN),50ml,6.164199999999999,0.9841999999999995,19
587023,Men Intensiv Creme - konventionell,Speick,Diverse,konventionell,50ml,6.7235000000000005,1.0735000000000001,19
691689,Milder Augen Make-up Entferner Aloe Vera&Mandelöl,Logona,Diverse,Naturkosmetik (BNN),125ml,5.128899999999999,0.8188999999999993,19
571873,Mizellenwasser - Aloe Vera & Lavendel,Benecos,Diverse,Naturkosmetik (BNN),150ml,1.8683,0.2983,19
571284,Mizellenwasser Natural Basics - Aloe Vera,Benecos,Diverse,Naturkosmetik (BNN),200ml,2.0111,0.32109999999999994,19
571234,MY AGE Festigende Tagespflege Hibiskus & Ceramide,Lavera,Diverse,Naturkosmetik (BNN),50ml,13.589799999999999,2.1697999999999986,19
571232,MY AGE Intensiv Öl-Serum Hibiskus & Ceramide,Lavera,Diverse,Naturkosmetik (BNN),30ml,15.612799999999998,2.492799999999999,19
571235,MY AGE Regenerierende Nachtpflege Hibiskus&Ceram.,Lavera,Diverse,Naturkosmetik (BNN),50ml,14.422799999999999,2.3027999999999995,19
571339,Nachtcreme Argan NACHTTRÄUMER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
989250,Nachtcreme Sonnenhut Hagebutte,Lenz,Diverse,Naturkosmetik (BNN),50ml,4.414899999999999,0.7048999999999994,19
588825,Natural Konjac Schwamm Black Bamboo,Benecos,Diverse,nicht per Bio-VO geregelt,Stück,3.332,0.532,19
89213,NEROLI Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,21.9674,3.5074000000000005,19
570982,Peeling Gel - Deeply Cleansing & Renewing,Primavera,Diverse,Naturkosmetik (BNN),60ml,13.1614,2.1014,19
571724,Pore Refining Vitamin Serum Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.1634,1.303399999999999,19
89207,PROPOLIS Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,11.899999999999999,1.8999999999999986,19
571953,Pure Beauty 3in1 Reinigungsmaske,Lavera,Diverse,Naturkosmetik (BNN),125ml,4.641,0.7410000000000001,19
571954,Pure Beauty Gesichtswasser,Lavera,Diverse,Naturkosmetik (BNN),200ml,5.259799999999999,0.8397999999999994,19
571955,Pure Beauty Liquid Refiner - Peeling,Lavera,Diverse,Naturkosmetik (BNN),100ml,6.961499999999999,1.1114999999999995,19
571957,Pure Beauty Mattierende Tagescreme,Lavera,Diverse,Naturkosmetik (BNN),50ml,7.734999999999999,1.2349999999999994,19
571956,Pure Beauty Serum,Lavera,Deutschland,Naturkosmetik (BNN),30ml,7.734999999999999,1.2349999999999994,19
571958,Pure Beauty Spot Treatment,Lavera,Deutschland,Naturkosmetik (BNN),15ml,4.641,0.7410000000000001,19
573300,Pure Calm Tonic - Sensitive Sheabutter,Martina Gebhardt,Diverse,Naturkosmetik (BNN),100ml,10.1388,1.6188000000000002,19
571594,RAINBOW aloecare Aloe Vera 24h Creme,Rainbow,Diverse,Naturkosmetik (BNN),50ml,5.9024,0.9424000000000001,19
571591,RAINBOW aloecare Aloe Vera Cleansing Gel,Rainbow,Diverse,Naturkosmetik (BNN),100ml,4.783799999999999,0.7637999999999998,19
571590,RAINBOW aloecare Aloe Vera Gel,Rainbow,Diverse,Naturkosmetik (BNN),100ml,4.783799999999999,0.7637999999999998,19
571595,RAINBOW aloecare Aloe Vera Hyaluron Serum,Rainbow,Diverse,Naturkosmetik (BNN),50ml,5.9024,0.9424000000000001,19
571593,RAINBOW aloecare Aloe Vera Spray,Rainbow,Diverse,Naturkosmetik (BNN),100ml,5.9024,0.9424000000000001,19
587742,Re-Aktiv Gesichtscreme Nr.44 - Anti Aging,Bioturm,Diverse,Naturkosmetik (BNN),75ml,12.0785,1.9284999999999997,19
571644,Refining Hydra Toner - Feuchtigkeit & Glow,Weleda,Diverse,Naturkosmetik (BNN),150ml,8.568,1.3679999999999994,19
571637,Reichhaltige Nachtcreme DEMETER - Lavendel,Baldini,Diverse,Demeter (Deutschland),50ml,10.352999999999998,1.6529999999999987,19
571638,Reichhaltige Tagescreme DEMETER - Lavendel,Baldini,Diverse,Demeter (Deutschland),50ml,8.9607,1.430699999999999,19
989200,Reinigungsmilch Kamille Melisse,Lenz,Diverse,Naturkosmetik (BNN),150ml,4.2245,0.6745000000000001,19
587756,Reinigungsmilch plus Nr. 51,Bioturm,Diverse,Naturkosmetik (BNN),150ml,7.7231,1.2330999999999994,19
571874,Reinigungsschaum - Aloe Vera & Lavendel,Benecos,Diverse,Naturkosmetik (BNN),150ml,3.213,0.5129999999999999,19
693094,Reinigungsschaum neutral,Lavera,Diverse,Naturkosmetik (BNN),150ml,5.949999999999999,0.9499999999999993,19
571389,Reinigungsschaum Nr.125,Bioturm,Diverse,Naturkosmetik (BNN),150ml,7.1281,1.1380999999999997,19
599301,Reinigungsschaum,Cattier,Diverse,Naturkosmetik (BNN),150ml,8.5204,1.3604000000000003,19
592959,Ringelblumensalbe,Fitne,Diverse,Naturkosmetik (BNN),75ml,4.8195,0.7694999999999999,19
89439,ROSE Cream DEMETER - Kleingröße,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,6.842499999999999,1.0924999999999994,19
690872,Rosenwasser Vital Spray & Tonic,spa vivent Vertriebs GmbH,Diverse,Naturkosmetik (BNN),100ml,8.5204,1.3604000000000003,19
571623,Sensitiv Feuchtigkeitscreme Mandel - Leicht,Weleda,Diverse,Naturkosmetik (BNN),30ml,9.5438,1.5237999999999996,19
571624,Sensitiv Feuchtigkeitscreme Mandel,Weleda,Diverse,Naturkosmetik (BNN),30ml,9.5438,1.5237999999999996,19
571627,Sensitiv Multi-Effekt Gesichtsöl Mandel,Weleda,Diverse,Naturkosmetik (BNN),50ml,10.2935,1.6434999999999995,19
571625,Sensitiv Reinigungsmilch Mandel,Weleda,Diverse,Naturkosmetik (BNN),75ml,6.771100000000001,1.0811000000000002,19
571830,Serum Pore Control,Sante,Diverse,Naturkosmetik (BNN),30ml,11.043199999999999,1.7631999999999994,19
570291,Serum Smooth Operator mit Retinol-Effekt,Sante,Diverse,Naturkosmetik (BNN),30ml,12.5069,1.9969000000000001,19
89204,SHEABUTTER Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,12.2689,1.9588999999999999,19
571646,Skin Food Cleansing Balm & Maske 2in1,Weleda,Diverse,nicht per Bio-VO geregelt,75ml,8.806,1.4059999999999988,19
571647,Skin Food Dry Oil ultra light für Körper & Gesicht,Weleda,Diverse,Naturkosmetik (BNN),100ml,9.7818,1.5617999999999999,19
571377,Skin Food Nährende Nachtpflege,Weleda,Diverse,Naturkosmetik (BNN),40ml,12.1499,1.9398999999999997,19
571376,Skin Food Nährende Tagespflege,Weleda,Diverse,Naturkosmetik (BNN),40ml,11.4835,1.833499999999999,19
571969,Skin Food Super Serum,Weleda,Diverse,Naturkosmetik (BNN),30ml,10.1626,1.6226000000000003,19
573056,Skin Longevity Nachtpflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,12.1499,1.9398999999999997,19
573055,Skin Longevity Tagespflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,11.6382,1.8582,19
573057,Skin Longevity Zellschutz,Lavera,Diverse,Naturkosmetik (BNN),30ml,12.542599999999998,2.0025999999999993,19
571721,Slow Aging Astaxanthin Serum Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.1634,1.303399999999999,19
571474,Straffende Nachtcreme,Cattier,Diverse,Naturkosmetik (BNN),30ml,11.174100000000001,1.7841000000000005,19
570836,Straffende Nachtpflege 3-fach Hyaluron & Bakuchiol,Lavera,Diverse,Naturkosmetik (BNN),50ml,12.1499,1.9398999999999997,19
570835,Straffende Tagespflege 3-fach Hyaluron & Bakuchiol,Lavera,Diverse,Naturkosmetik (BNN),50ml,11.3645,1.814499999999999,19
570182,Straffende Tagespflege Granatapfel & Maca-Peptide,Weleda,Diverse,Naturkosmetik (BNN),40ml,13.6731,2.1830999999999996,19
570183,Straffendes Serum Granatapfel & Maca-Peptide,Weleda,Diverse,Naturkosmetik (BNN),30ml,15.0535,2.4034999999999993,19
589255,SUMMER TIME After Sun Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,11.9595,1.9094999999999995,19
571723,Sunkissed Bronzing Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,6.771100000000001,1.0811000000000002,19
571338,Tagescreme Olive TAGSCHWÄRMER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
989245,Tagescreme Sonnenhut Hagebutte,Lenz,Diverse,Naturkosmetik (BNN),50ml,4.2245,0.6745000000000001,19
587038,Thermal Sensitiv Tagescreme,Speick,Diverse,Naturkosmetik (BNN),50ml,6.7829999999999995,1.0829999999999993,19
571426,vitamin c & Q10 Serum,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,21.182,3.381999999999998,19
571007,Vitamin C Serum Illuminating & Balancing,Primavera,Diverse,Naturkosmetik (BNN),30ml,39.6151,6.325099999999999,19
