Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,37198,Rucola Salatrauke - Saatscheibe,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37199,Basilikum - Saatscheibe,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37201,Möhre Robila - Saatbänder bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37202,Saatband Radies Rudi GS,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37205,Zitronenmelisse Mia,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37207,Basilikum großblättrig,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37208,Petersilie glatt,Bingenheimer Saatgut,Europäische Union,EG-Bio,5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37213,Pastinake Aromata bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,68269,Heilerde Luvos 2 hautfein,LUVOS,Deutschland,S#,480g,5.4235,0.8018,19
Drogerie Kosmetik Nonfood,88605,Kajal black,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88606,Kajal green,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88607,Kajal brown,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88608,Kajal night-blue,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88609,Kajal bright-blue,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88610,Kajal grey,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88611,Kajal olive,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88612,Kajal white,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
Drogerie Kosmetik Nonfood,88615,Eyebrow-Designer brown,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9921,0.2945,19
Drogerie Kosmetik Nonfood,88616,Eyebrow-Designer gentle brown,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9921,0.2945,19
Drogerie Kosmetik Nonfood,88618,Eyeliner black liquid,Benecos,Diverse,Naturkosmetik (BNN),Stück,2.8146,0.4161,19
Drogerie Kosmetik Nonfood,88621,Lipliner pink,Benecos,Diverse,Naturkosmetik (BNN),Stück,1.9792,0.2926,19
