"ArtikelNr","Bezeichnung","Hersteller","Land","Qualitaet","Gebinde","PreisInklMwst","EntMwst","MwstSatz"
"695459","Mittelscharfer Senf - Eimer","Byodo","Diverse","100% Biozutaten","5kg","20.2808","1.2285","7"
"695461","Weißweinessig 6% Säure - Kanister","Byodo","Bayern","EG-Bio","5l","14.965","0.9065","7"
"695465","Condimento bianco - Kanister","Byodo","Italien","100% Biozutaten","5l","35.7658","2.1665","7"
"695467","Aceto Balsamico di Modena IGP - Kanister","Byodo","Italien","100% Biozutaten","5l","35.708","2.163","7"
"695468","Tomaten Ketchup - Eimer","Byodo","Diverse","100% Biozutaten","5kg","28.4278","1.722","7"
"695469","Delikatess Mayonnaise 80% - Eimer","Byodo","Diverse","100% Biozutaten","5kg","39.2326","2.3765","7"
"695475","Klare Gemüsebrühe glutenfrei - Brühwürfel","Cenovis","Diverse","100% Biozutaten","12x12Stück","20.2461","1.2264","7"
"695497","Olivenöl nativ extra mild - Kanister","Byodo","Tunesien","EG-Bio","5l","71.185","4.312","7"
"695505","Tomaten geschält - Dose","Green organics","Italien","EG-Bio","12x400g","9.9844","0.6048","7"
"695506","Pizza-Tomaten - Dose","Green organics","Italien","EG-Bio","12x400g","9.9844","0.6048","7"
"695507","Tomatenstücke - Dose","Green organics","Italien","EG-Bio","6x2,55kg","31.6866","1.9194","7"
"695507","Tomatenstücke - Dose","Green organics","Italien","EG-Bio","6x2,55kg","31.6866","1.9194","7"
"695509","Ketchup","Green organics","Diverse","100% Biozutaten","6x450ml","14.5606","0.882","7"
"695509","Ketchup","Green organics","Diverse","100% Biozutaten","6x450ml","14.5606","0.882","7"
"695514","Mittelscharfer Senf","Green organics","Diverse","100% Biozutaten","6x200ml","9.1524","0.5544","7"
"695515","Delikatess Mayonnaise","Green organics","Diverse","100% Biozutaten","6x250ml","12.4805","0.756","7"
"695518","Brotaufstrich Antipasti Arrabbiata vegan","Sanchon","Diverse","100% Biozutaten","6x190g","14.4912","0.8778","7"
"695519","V! Musterpaket Neuheiten 2025","Sanchon","Diverse","100% Biozutaten","Stück","0","0","7"
"695520","Veganes Gulasch","Sanchon","Diverse","100% Biozutaten","6x330ml","15.8779","0.9618","7"
"695523","Grillsauce Curry Mango","Sanchon","Diverse","100% Biozutaten","6x210ml","12.4111","0.7518","7"
"695523","Grillsauce Curry Mango","Sanchon","Diverse","100% Biozutaten","6x210ml","12.4111","0.7518","7"
"695526","Vegane Bratensauce","Sanchon","Diverse","100% Biozutaten","6x330ml","15.8779","0.9618","7"
"695529","Tomatenmark Doppelfrucht - Tube","Byodo","Italien","EG-Bio","12x200g","23.5742","1.428","7"
"695530","Spaghettisauce","Green organics","Diverse","100% Biozutaten","12x340g","23.8516","1.4448","7"
"695531","Pizza Tomaten Sauce","Green organics","Diverse","100% Biozutaten","12x340g","22.1875","1.344","7"
"695532","Tomatensauce provencal","Green organics","Diverse","99%","12x340g","23.8516","1.4448","7"
"695533","Bolognese vegetarisch","Green organics","Diverse","100% Biozutaten","12x340g","26.625","1.6128","7"
"695534","Tomatenmark 22%","Green organics","Italien","EG-Bio","12x200g","15.9473","0.966","7"
"695538","Tomaten-Paprika-Mark Doppelfrucht - Tube","Byodo","Italien","100% Biozutaten","12x200g","25.5156","1.5456","7"
"695539","Gemüsebrühe klar","Green organics","Diverse","100% Biozutaten","6x290g","16.6406","1.008","7"
"695544","Hot Pot - Chili sin Carne","Sanchon","Diverse","100% Biozutaten","6x330ml","15.7393","0.9534","7"
"695545","Tomatensauce Classico","Sanchon","Diverse","100% Biozutaten","6x330ml","12.4111","0.7518","7"
"695547","Tomatensauce Ricotta","Sanchon","Diverse","100% Biozutaten","6x330ml","15.1846","0.9198","7"
"695548","Tomatensauce Vegetarische Bolognese - Erbsenprot.","Sanchon","Diverse","100% Biozutaten","6x330ml","13.1045","0.7938","7"
"695563","Knusperbrot Reis & Kichererbsen glutenfrei","Byodo","Diverse","100% Biozutaten","12x6x20g","31.2012","1.89","7"
"695578","Leinöl nativ - Dose","Byodo","USA","EG-Bio","6x250ml","28.4278","1.722","7"
"695579","Mexico Salsa Sauce","Byodo","Diverse","100% Biozutaten","6x250ml","17.0567","1.0332","7"
"695580","Grill & Burger-Sauce glutenfrei - Quetschflasche","Byodo","Diverse","100% Biozutaten","6x300ml","18.9981","1.1508","7"
"695584","Tomaten-Gemüse-Mark Doppelfrucht - Tube","Byodo","Italien","100% Biozutaten","12x200g","25.5156","1.5456","7"
"695588","Orecchiette semola","Byodo","Italien","EG-Bio","12x500g","22.8809","1.386","7"
"695589","Strozzapreti semola","Byodo","Italien","EG-Bio","12x500g","22.8809","1.386","7"
"695590","Farfalle semola","Byodo","Italien","EG-Bio","12x500g","22.8809","1.386","7"
"695593","Rote Linsen Volanti glutenfrei","Byodo","Diverse","EG-Bio","6x250g","17.2647","1.0458","7"
"695594","Mais-Reis Lasagne glutenfrei","Byodo","Diverse","100% Biozutaten","12x250g","30.3692","1.8396","7"
